ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Digital Systems,,FOUND
2,Analog vs Digital Signals,1,FOUND
3,Binary Number System,1|4,NUMSYS
4,Decimal Number System,,NUMSYS
5,Octal Number System,4|7,NUMSYS
6,Hexadecimal Number System,4|7,NUMSYS
7,Positional Notation,4,NUMSYS
8,Base of Number System,7,NUMSYS
9,Radix Point,7|8,NUMSYS
10,Bit,3,FOUND
11,Nibble,10,FOUND
12,Byte,11,FOUND
13,Word,12,FOUND
14,Most Significant Bit,10|3,FOUND
15,Least Significant Bit,10|3,FOUND
16,Binary to Decimal Conversion,3|4|7,CONV
17,Decimal to Binary Conversion,3|4|7,CONV
18,Octal to Decimal Conversion,5|4|7,CONV
19,Decimal to Octal Conversion,5|4|7,CONV
20,Hexadecimal to Decimal,6|4|7,CONV
21,Decimal to Hexadecimal,6|4|7,CONV
22,Binary to Octal Conversion,3|5,CONV
23,Octal to Binary Conversion,3|5,CONV
24,Binary to Hexadecimal,3|6|11,CONV
25,Hexadecimal to Binary,3|6|11,CONV
26,Binary Addition,3|10,ARITH
27,Binary Subtraction,3|10|26,ARITH
28,Binary Multiplication,3|26,ARITH
29,Binary Division,3|27|28,ARITH
30,Signed Numbers,3|10,ARITH
31,Unsigned Numbers,3|10,ARITH
32,Sign Magnitude,30|14,ARITH
33,Ones Complement,30|50,ARITH
34,Twos Complement,33,ARITH
35,Sign Extension,30|14|12,ARITH
36,Twos Complement Addition,34|26,ARITH
37,Twos Complement Subtraction,34|27|36,ARITH
38,Overflow Detection,36|37|30,ARITH
39,Underflow,38,ARITH
40,Range of Signed Numbers,30|32|33|34,ARITH
41,Boolean Algebra,3,BOOLF
42,Boolean Variable,41,BOOLF
43,Boolean Constant,41,BOOLF
44,Logic Levels,1|3,BOOLF
45,High and Low States,44,BOOLF
46,Truth Value,42|43,BOOLF
47,AND Operation,42|46,BOOLF
48,OR Operation,42|46,BOOLF
49,NOT Operation,42|46,BOOLF
50,Complement,49,BOOLF
